"match_status","action","content_scope_id","content_path","lot_batch","lot_country_scope","canonical_city","source_index","title","section","category","country","city","expected_post_type","post_id","external_id","wp_status","qa_text","qa_media","staging","publication"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","836","Destinos | Malé","Curadoria Global","Destinos","Maldivas","Malé","ang_curated","142459","340c0c6739f9e5dcf47a1d21d74158b021f46be19ffcf2a3134d1858f0903442","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","837","Hotelaria Global | Malé","Curadoria Global","Hotelaria Global","Maldivas","Malé","ang_curated","142460","e6f69a6adcfb869c35cf58c824bba9c6caccb96d46f40dc766519100091b5722","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","838","Experiências | Malé","Curadoria Global","Experiências","Maldivas","Malé","ang_curated","142461","db3f28bca2e4d10e055b17371bd58e238153c318a406f110991215eb065da3ae","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","839","Fornecedores | Malé","Curadoria Global","Fornecedores","Maldivas","Malé","ang_curated","142462","2c04b6dbb30f6c868429c497c05f6695215745fa975a6ff0adaed3c869185670","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","840","Sustentabilidade | Malé","Curadoria Global","Sustentabilidade","Maldivas","Malé","ang_curated","142463","9a8f8bd3ae4fe459b352ce971e2b00b037373eda8ccf3b278e3a6d0debfb150b","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","841","Four Seasons | Malé","Conteúdo Global","Parceiros Globais","Maldivas","Malé","ang_curated","142464","135e5dd4e35578e376c5d43447645873037412ff0748d4cdc7d28ae90b7d81b6","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","842","Rosewood | Malé","Conteúdo Global","Parceiros Globais","Maldivas","Malé","ang_curated","142465","4fe7e3f34b8b259b318dc58a8f05e088bf69d3917c13e0ddaba5111e6fd38ae9","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","843","Belmond | Malé","Conteúdo Global","Parceiros Globais","Maldivas","Malé","ang_curated","142466","f50dd25b15302e97bdbcca56040d650b996bec92d7296648cb34a7680b2636f9","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","844","Aman | Malé","Conteúdo Global","Parceiros Globais","Maldivas","Malé","ang_curated","142467","98d7f78a66c37563e2b7e074c82e94c8c9dd4b3bd9b267e56cda7ccb3dab9b98","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","845","Six Senses | Malé","Conteúdo Global","Parceiros Globais","Maldivas","Malé","ang_curated","142468","03075773ce235de0cd98d8a1b4f1cfaf53ccf987c49f5cc44ecba2850dedcce9","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","846","Relais & Châteaux | Malé","Conteúdo Global","Parceiros Globais","Maldivas","Malé","ang_curated","142469","027aa1bd97dd9f795eca6042c24829086c4e3f6e5505b2391d7fc654d7956da8","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
"CONTENT_SCOPE_CREATED","MERGE_REVIEW","male-maldives-ptbr-v1-2026-09-07","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","03","Maldivas","Malé","847","The Leading Hotels of the World | Malé","Conteúdo Global","Parceiros Globais","Maldivas","Malé","ang_curated","142470","0d6f018235f8a3c09f6443e796f39c126b57a7e8bbf1ef13a443fa1d53a25411","draft","PENDING","HOLD","NOT_TESTED","UPLOAD_PENDING_CHANNEL"
