"match_status","action","lot_batches","lot_country","lot_scope","mapping_basis","canonical_city","source_index","title","section","category","country","city","expected_post_type","post_id","external_id","wp_status","match_count","duplicate_post_ids"
"MATCH_HIERARCHICAL_REGION","MERGE_REVIEW","A|03","França","Côte d’Azur / Riviera","Cannes is within Côte d’Azur; lot A names Côte d’Azur and Riviera, lot 03 names Côte d’Azur","Cannes","330","Destinos | Cannes","Curadoria Global","Destinos","França","Cannes","ang_curated","141928","fcf11d5bd00775e850fef4fc309f6534620b52f2242f88c1910dd38a31afde3e","draft","1",""
"MATCH_HIERARCHICAL_REGION","MERGE_REVIEW","A|03","França","Côte d’Azur / Riviera","Cannes is within Côte d’Azur; lot A names Côte d’Azur and Riviera, lot 03 names Côte d’Azur","Cannes","331","Hotelaria Global | Cannes","Curadoria Global","Hotelaria Global","França","Cannes","ang_curated","141929","92cdba7c5fc453f3297c644153fc2400148e23f7e79ee67d7b8911f68996809e","draft","1",""
"MATCH_HIERARCHICAL_REGION","MERGE_REVIEW","A|03","França","Côte d’Azur / Riviera","Cannes is within Côte d’Azur; lot A names Côte d’Azur and Riviera, lot 03 names Côte d’Azur","Cannes","332","Experiências | Cannes","Curadoria Global","Experiências","França","Cannes","ang_curated","141930","b66d07df36529706062344ca13b1ef2b7e32b4b34fdcebf3cc4c0b99ba93bf88","draft","1",""
"MATCH_HIERARCHICAL_REGION","MERGE_REVIEW","A|03","França","Côte d’Azur / Riviera","Cannes is within Côte d’Azur; lot A names Côte d’Azur and Riviera, lot 03 names Côte d’Azur","Cannes","333","Fornecedores | Cannes","Curadoria Global","Fornecedores","França","Cannes","ang_curated","141931","e8dcdd8d3f42532842f4d7f3d7b263add061e5850532096301ab4337698625a9","draft","1",""
"MATCH_HIERARCHICAL_REGION","MERGE_REVIEW","A|03","França","Côte d’Azur / Riviera","Cannes is within Côte d’Azur; lot A names Côte d’Azur and Riviera, lot 03 names Côte d’Azur","Cannes","334","Sustentabilidade | Cannes","Curadoria Global","Sustentabilidade","França","Cannes","ang_curated","141932","330a1e4a484a9a4df1fa1fba7986f6eaba278aa85eb34ca83312277cb40076e5","draft","1",""
"MATCH_HIERARCHICAL_REGION","MERGE_REVIEW","A|03","França","Côte d’Azur / Riviera","Cannes is within Côte d’Azur; lot A names Côte d’Azur and Riviera, lot 03 names Côte d’Azur","Cannes","335","Four Seasons | Cannes","Conteúdo Global","Parceiros Globais","França","Cannes","ang_curated","141933","69cb3d5806f4b655d9b2afa5d27ddf3bd016c252b4d10d7efc20b3088f2f64fe","draft","1",""
"MATCH_HIERARCHICAL_REGION","MERGE_REVIEW","A|03","França","Côte d’Azur / Riviera","Cannes is within Côte d’Azur; lot A names Côte d’Azur and Riviera, lot 03 names Côte d’Azur","Cannes","336","Rosewood | Cannes","Conteúdo Global","Parceiros Globais","França","Cannes","ang_curated","141934","d7321813f0c0fe0a1618b82ca45dc4715189f089b028ece072462652fb5e3fd7","draft","1",""
"MATCH_HIERARCHICAL_REGION","MERGE_REVIEW","A|03","França","Côte d’Azur / Riviera","Cannes is within Côte d’Azur; lot A names Côte d’Azur and Riviera, lot 03 names Côte d’Azur","Cannes","337","Belmond | Cannes","Conteúdo Global","Parceiros Globais","França","Cannes","ang_curated","141935","b3c996547323df6c82dbb581e1c79ffe8cebba9b583aef423c6b777cd59523b6","draft","1",""
"MATCH_HIERARCHICAL_REGION","MERGE_REVIEW","A|03","França","Côte d’Azur / Riviera","Cannes is within Côte d’Azur; lot A names Côte d’Azur and Riviera, lot 03 names Côte d’Azur","Cannes","338","Aman | Cannes","Conteúdo Global","Parceiros Globais","França","Cannes","ang_curated","141936","d2cbf490c865c86b6fbae65cc13e1a3a01e0d4d3c1cceaee194dfc488f5e42fe","draft","1",""
"MATCH_HIERARCHICAL_REGION","MERGE_REVIEW","A|03","França","Côte d’Azur / Riviera","Cannes is within Côte d’Azur; lot A names Côte d’Azur and Riviera, lot 03 names Côte d’Azur","Cannes","339","Six Senses | Cannes","Conteúdo Global","Parceiros Globais","França","Cannes","ang_curated","141937","faddffb6033bbd789d5f940177a0b5c1a1cacdbad6b6cc3714238b3c382a3656","draft","1",""
