batch,country,destination,destination_type,official_source,modules_per_destination,identity_gate,source_gate,content_gate,media_gate,seo_schema_gate,staging_gate
WORLD-01,Argentina,Buenos Aires,city,https://argentina.travel/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Argentina,Mendoza & Valle de Uco,region,https://argentina.travel/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Argentina,Patagonia Argentina,region,https://argentina.travel/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Argentina,El Calafate & Los Glaciares,park_gateway,https://argentina.travel/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Argentina,Salta & Jujuy,region,https://argentina.travel/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Australia,Sydney,city,https://www.australia.com/en,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Australia,Melbourne,city,https://www.australia.com/en,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Australia,Great Barrier Reef,region,https://www.australia.com/en/places.html,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Australia,Uluru & Kata Tjuta,park_region,https://www.australia.com/en/places.html,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Australia,The Whitsundays,islands,https://www.australia.com/en/places.html,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Austria,Vienna,city,https://www.austria.info/en-gb/inspiration/destinations/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Austria,Salzburg,city,https://www.austria.info/en-gb/inspiration/destinations/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Austria,Innsbruck,city,https://www.austria.info/en-gb/inspiration/destinations/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Austria,Salzkammergut,region,https://www.austria.info/en-gb/inspiration/destinations/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Austria,Tirol Alpine Regions,region,https://www.austria.info/en-gb/inspiration/destinations/,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Bahamas,Nassau & Paradise Island,islands,https://www.bahamas.com/islands,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-01,Bahamas,The Exumas,islands,https://www.bahamas.com/islands,23,NEW_ID_REQUIRED,OFFICIAL_DISCOVERY,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
